lemy	11.025708
paekki	7.6719913
kakku	6.7984385
viroe	21.042362
temy	14.764832
tisi	7.960921
nijy	43.088078
vinu	13.422817
sani	10.143047
nukki	6.4613686
nitti	7.150447
jypoe	28.297823
kusa	11.146116
lemi	12.736608
vehi	7.118027
nula	12.948261
hoka	13.493707
nida	11.720892
symi	24.129847
pufe	34.42762
rykae	9.651577
huju	8.554157
ravi	9.791318
popo	15.436305
vihy	11.871793
poelae	9.311183
tihe	13.082972
johe	12.429518
nysy	16.16446
nykky	7.6468472
mihi	15.701418
tikoe	26.03754
ruri	10.044581
kokka	5.4278045
kisti	5.135552
tadu	9.929665
rubo	21.783258
taete	14.513512
pubu	16.704205
lettoe	12.807451
mehoe	11.892425
hity	20.203335
jykae	17.40884
tokka	6.9094996
lekka	7.2912016
haeve	14.517845
hoesti	7.77921
penoe	20.597336
riste	8.435272
soettoe	14.910671
loekkae	11.807743
heky	16.078485
lija	14.959279
sota	7.0193725
kyne	12.666017
jasa	16.928915
kivo	10.404825
tuma	7.948263
jygi	29.48409
ryly	19.42951
retoe	23.557783
lukka	4.645733
pintu	6.0089927
sino	7.4730854
sebe	39.705254
riku	9.646661
taka	8.0709305
vyfi	54.24899
roko	11.061863
kore	9.87493
moelae	21.792078
koekoe	20.14829
pebe	27.408123
mako	8.614763
mebi	26.083002
pittae	5.5022607
rivae	14.681904
niloe	16.994934
suva	6.92502
kapi	12.341868
sufa	22.75263
naepoe	15.037187
togo	15.900563
mora	9.634171
haka	8.940547
kaeny	15.302243
kete	12.482891
sudu	11.444822
hiju	13.955059
pode	12.035125
nefu	23.795393
vyntae	14.379042
rapu	8.624194
nantu	9.123625
paedi	15.009449
poepae	10.221362
lida	11.630985
moestoe	11.101846
naste	8.165416
seloe	10.226446
sentu	7.760215
hoeny	15.999313
maeny	11.56774
lettoe	12.807451
sesy	13.050158
vuki	13.295225
luda	17.020071
kasti	4.3751163
rittae	9.946919
hunti	6.7245135
lunto	8.280296
ledy	13.120681
sosti	7.647323
mepy	20.798832
kuju	12.457489
kede	9.203006
huro	10.294075
kanu	9.299683
sikku	6.3726573
naegi	37.594257
naekky	8.011316
pynte	9.745753
tytae	12.124434
jore	14.210897
laeve	12.934259
rymoe	27.78908
jaeri	13.85673
saehi	8.621544
raju	8.228387
nykkae	8.31986
moka	12.189604
reka	10.720605
timi	8.938215
taehe	17.278147
tenti	7.4369774
livy	13.4356785
jubo	19.986826
hetti	6.5352316
ruku	6.7521925
pabo	20.151213
koery	18.06641
sentae	8.520588
somo	13.590703
pibo	16.588835
pohi	8.964791
pyntoe	8.740574
senta	6.6902347
toke	14.068463
rejy	26.452194
save	10.719353
hisa	13.52167
viha	7.4599957
jyde	18.308123
sekkoe	12.824401
jaele	18.143715
nile	15.336174
rote	11.852224
sora	9.053813
rytti	7.7351117
jada	21.225477
suvo	9.876164
puvu	15.163054
hety	12.349595
ridae	15.46766
leti	8.861938
tysti	8.124054
raesti	6.2688174
kydi	11.360025
joli	14.441193
hihi	14.819033
poeli	10.208313
rigo	16.065027
peste	7.784238
kysy	11.046282
visu	7.8865767
noeloe	22.742292
limi	8.122021
nabi	16.718325
mestoe	13.469783
haepi	12.945705
hisoe	23.148817
nade	14.973752
laepoe	17.9383
kyde	10.41217
rodi	8.633602
nemy	23.625757
vakko	6.5304723
kykky	8.377295
sala	7.769336
mogo	18.49662
kesoe	15.014478
vesty	7.8326244
saente	11.138925
jyky	15.802224
meda	14.525932
lijy	34.282085
pibi	16.458044
pefi	26.088655
vysae	13.611947
hara	7.4632263
mema	14.35999
hono	9.614114
nunu	9.695654
moeli	19.757952
syry	11.563855
kudo	15.334997
hejae	14.70023
lente	8.245065
suve	11.13151
losi	8.173234
ruki	6.030605
sona	9.635315
laeti	13.6792
soda	9.564431
kittoe	16.340704
hygi	21.332321
kystae	7.632194
hoelae	16.581781
haho	9.951882
pily	11.617006
topu	9.442524
hydae	11.006536
jutta	6.4089203
mimy	19.799591
nyri	11.486357
tese	12.983846
vynti	15.810304
hutte	9.839082
mobi	17.061419
salo	7.119616
paetae	7.082124
mafe	31.092865
vaebi	23.023422
mitto	6.682084
hintu	6.890695
mekoe	34.61732
suki	7.4366527
tiso	10.958905
pebo	18.150755
nitty	16.59858
noele	26.44072
muvo	18.100298
segi	29.871452
jomi	17.030405
tuga	16.33418
laehy	7.197508
pymy	11.297892
riny	19.632212
sebu	29.919508
noja	16.229834
topa	10.408182
maevy	24.890024
kapi	12.341868
rura	12.652058
sakku	6.3647914
veny	12.109839
hentoe	9.111866
raete	11.031943
haesti	6.7576094
juto	13.752149
hili	7.4669337
neke	11.916257
pofu	32.31417
nate	16.580849
hesa	16.356888
nafo	21.170702
lupa	8.667624
kypy	15.978515
pysty	7.294675
